127.0.0.1 - - [28/Sep/2023:10:02:12 -0300] "GET / HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:16 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:19 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 15675
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:19 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:19 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:19 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:22 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:22 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 16013
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:22 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:22 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:41 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 15950
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:41 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:41 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:41 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:43 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:44 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:45 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:45 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:46 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:46 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:46 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:46 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:03:47 -0300] "POST /Cadastro/relatorios.xhtml HTTP/1.1" 200 221
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:13:03 -0300] "GET /Cadastro/javax.faces.resource/components.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:13:03 -0300] "GET /Cadastro/javax.faces.resource/primeicons/primeicons.css.xhtml?ln=primefaces&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:13:03 -0300] "GET /Cadastro/javax.faces.resource/theme.css.xhtml?ln=primefaces-saga&v=12.0.0 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:13:03 -0300] "GET /Cadastro/relatorios.xhtml HTTP/1.1" 200 15982
0:0:0:0:0:0:0:1 - - [28/Sep/2023:11:13:15 -0300] "GET /Cadastro/relatorio HTTP/1.1" 200 -
